address_id,address.street_address,address.city,address.country,account_creation_date
281b5923411c,79402 Peterson Drives Apt. 511,Nairobi,Kenya,2024-08-07T02:39:53.592034
f1e15e7619ac,64752 Kelly Skyway,Entebe,Uganda,2024-06-13T06:01:12.267052
3c644fdd3b5e,537 Wilkerson Row,Mwanza,Tanzania,2024-06-27T08:10:15.357387
72eba2d95eeb,9784 Erin Crescent Suite 514,Gisenyi,Rwanda,2025-03-22T13:55:25.712602
02759979d26d,570 Sarah Wells,Eldoret,Kenya,2024-07-02T21:50:36.229793
148bfc857811,465 Lam Mission,Gulu,Uganda,2025-01-20T23:33:00.746907
76402e863707,76311 Gomez Loop Suite 010,Arusha,Tanzania,2024-05-24T14:07:56.073012
f3a3c76884e9,7736 Franklin Alley,Gisenyi,Rwanda,2024-09-29T17:56:13.531501
2e8d788edde6,820 Melissa Cliff Apt. 361,Nairobi,Kenya,2025-04-27T05:27:37.020731
d366b600237f,83842 Ibarra Gardens,Kampala,Uganda,2024-11-21T02:28:02.815840
3d0024a30ab2,48740 Cynthia Village Suite 005,Dodoma,Tanzania,2024-12-23T12:25:24.008250
78f4f913a4f9,31586 Sara Freeway Apt. 260,Musanze,Rwanda,2024-05-02T04:35:10.157740
fc0b3ce7d0d3,36541 Bell Pass,Nairobi,Kenya,2024-07-28T07:11:54.111790
868eb18e808a,608 Michael Cliff,Kampala,Uganda,2024-07-02T21:06:23.433051
24bf6c034add,4369 Marshall Mills,Mwanza,Tanzania,2024-10-30T21:08:16.979500
d5ec857d3fd3,6936 Ross Drive,Butare,Rwanda,2024-08-10T07:25:38.662754
1d64e6b505c2,9868 Merritt Summit Suite 743,Eldoret,Kenya,2024-07-01T21:36:15.580529
c99d7fa57ff0,36690 Woods Knoll Suite 668,Jinja,Uganda,2025-01-14T06:35:12.853573
a5ea66909c39,62720 Gray Forest,Mwanza,Tanzania,2024-05-09T06:14:54.580506
512bb85b5598,1937 Wang Expressway,Musanze,Rwanda,2024-10-17T10:25:14.669370
f771e5f97e87,058 Stanley Cliff,Mombasa,Kenya,2024-11-26T00:26:07.331025
8bd8428e91b2,3147 Karen Port Suite 507,Entebe,Uganda,2024-12-16T19:12:37.398775
ea65c1b8f05a,43634 Kennedy Pines,Arusha,Tanzania,2025-01-09T18:13:56.496723
4498f35e130e,40824 Terri Plaza Suite 271,Musanze,Rwanda,2024-07-21T20:39:54.107214
30041846b7f7,86999 Kimberly Light,Kisumu,Kenya,2025-04-07T08:57:41.482421
90e1688e4c5f,0344 Jones Fort Suite 936,Kampala,Uganda,2024-12-07T07:42:07.755159
b9733ec770d6,594 Christopher Spring Apt. 490,Mwanza,Tanzania,2025-02-12T03:48:56.410655
d3fe26afd5de,071 King Crescent Suite 808,Musanze,Rwanda,2024-10-04T20:41:13.463552
7c672d74d980,31712 Cantu Highway Suite 677,Mombasa,Kenya,2024-05-17T12:14:25.164047
d03e7ad21906,78755 Gibson Islands Apt. 396,Kampala,Uganda,2025-03-10T05:40:35.866652
c5f373b48b27,26217 Morgan Square Suite 158,Dar es Salaam,Tanzania,2024-09-16T16:05:51.267567
097aea630817,0455 Thomas Pines,Gisenyi,Rwanda,2024-05-23T15:35:01.455731
f97345083105,75946 Bryant Hollow,Eldoret,Kenya,2025-01-03T04:01:03.592354
3d02dd327c42,533 Byrd Stravenue,Entebe,Uganda,2025-04-26T05:31:26.750035
bb501e0e89ab,47451 Mccarty Divide Apt. 685,Dar es Salaam,Tanzania,2025-02-10T16:35:38.850741
be30c8429f8d,461 Brandon Camp Suite 711,Kigali,Rwanda,2024-08-02T09:52:04.349525
90d8fa9308c7,51585 Raymond Field Apt. 713,Kisumu,Kenya,2024-11-11T23:01:17.967433
f4e24a63f9f6,10205 Brianna Brook Apt. 402,Entebe,Uganda,2024-11-20T20:46:44.137142
a1616c975ea1,177 Rachel Islands Apt. 124,Dodoma,Tanzania,2024-06-07T11:45:54.603433
2bf129b1342d,6615 Edwards Glens Suite 271,Gisenyi,Rwanda,2024-10-30T07:21:47.792061
dca842cf760d,832 Walker Coves,Kisumu,Kenya,2024-05-20T13:36:09.886848
43c2ae598494,29612 Christopher Pines,Kampala,Uganda,2024-11-19T13:06:52.555117
7a3678b04d22,81561 Gregory Ramp Suite 840,Dodoma,Tanzania,2024-11-21T23:12:46.021382
554e2e90210a,0607 Michelle Ports,Butare,Rwanda,2025-02-01T18:16:29.649061
0bf45a7b6c13,2181 Rebecca Keys,Nairobi,Kenya,2024-06-30T10:25:22.584982
443b830ed3eb,527 Taylor Roads Suite 490,Entebe,Uganda,2024-07-01T00:40:28.847463
d760d28e9e8b,9782 Shannon Valleys,Dar es Salaam,Tanzania,2024-12-20T02:48:55.588457
706d5d0d9207,86449 Mathew Prairie Apt. 546,Butare,Rwanda,2024-10-05T13:06:28.294192
2b1c79ff118e,22141 Ebony Wells,Eldoret,Kenya,2024-06-14T08:02:00.076161
8b6e3e271200,7359 Murray Haven,Kampala,Uganda,2025-02-18T03:42:25.073115
ced6ea2e5b00,37506 Randy Landing Apt. 615,Dar es Salaam,Tanzania,2025-03-13T12:20:57.118806
ec84bb021f59,43410 Robert Underpass Suite 117,Kigali,Rwanda,2024-05-12T15:34:49.690038
