contact_id,email,phone_number,notification_channel,account_creation_date
9e3d3280233c,hoffmanjennifer@example.net,+254734588714,Email,2024-08-07T02:39:53.592034
68fdb57dca44,stanleykendra@example.org,+256791155693, Push ,2024-06-13T06:01:12.267052
ea917dc91668,trujillorichard@example.org,+255750752509, SMS ,2024-06-27T08:10:15.357387
3a70d3353a18,laurahenderson@example.org,+250783609771,Push Notification,2025-03-22T13:55:25.712602
2f41a669ef65,amberosborne@example.net,+254782521019,e-Mail,2024-07-02T21:50:36.229793
1567ae765502,ibrandt@example.net,+256783156827,Push Notification,2025-01-20T23:33:00.746907
6c0ddb31c3e2,ambercummings@example.net,+255759365303,Email,2024-05-24T14:07:56.073012
c24e82126e3b,novaksara@example.org,+250729825963,Push Notification,2024-09-29T17:56:13.531501
8fca9e3c1a78,adkinsbrian@example.net,+254754982956,Email,2025-04-27T05:27:37.020731
66ad427672e6,sarah10@example.com,+256783171223,sms,2024-11-21T02:28:02.815840
032512fb3192,josephjacobs@example.net,+255784046615,e-Mail,2024-12-23T12:25:24.008250
87a74af1594c,bobbydiaz@example.org,+250709238153,sms,2024-05-02T04:35:10.157740
799dc1a52552,ybailey@example.org,+254737081501,In-app ,2024-07-28T07:11:54.111790
79aff35cba69,cruzbarbara@example.com,+256778713534,Email,2024-07-02T21:06:23.433051
44784e3a1abb,christinaturner@example.net,+255718153295, SMS ,2024-10-30T21:08:16.979500
5f4fcf271a53,dylanwilliams@example.com,+250739777604,Push Notification,2024-08-10T07:25:38.662754
5dbb09c1cd10,jcontreras@example.net,+254792486464,In-app ,2024-07-01T21:36:15.580529
8ba74a6aa919,perrymark@example.com,+256748402673, SMS ,2025-01-14T06:35:12.853573
defe1f486dbe,meadowsbrittany@example.net,779705968, Push ,2024-05-09T06:14:54.580506
73e03a7f8617,maryhowell@example.org,+250747230805, In App ,2024-10-17T10:25:14.669370
bbab5001c6d1,curtisbarton@example.net,+254745683386,e-Mail,2024-11-26T00:26:07.331025
a8d6c2cda5c8,umarshall@example.net,+256790308404,In-app ,2024-12-16T19:12:37.398775
aef71315fa80,fbrewer@example.com,+255754776749,Push Notification,2025-01-09T18:13:56.496723
9285c28ae857,tina34@example.org,+250791259292,Email,2024-07-21T20:39:54.107214
05a11dcbfb71,lisaavery@example.org,+254710179381,e-Mail,2025-04-07T08:57:41.482421
d1ba50487690,moorericky@example.net,+256792000361, SMS ,2024-12-07T07:42:07.755159
fc4ccba99938,mkim@example.org,+255779262589,In-app ,2025-02-12T03:48:56.410655
79be38bde7d0,marksteele@example.com,+250705818827,Push Notification,2024-10-04T20:41:13.463552
0a5de499a761,jennifercollins@example.org,+254736540843,In-app ,2024-05-17T12:14:25.164047
cef84bfb52b2,jessica99@example.net,+256790200810, SMS ,2025-03-10T05:40:35.866652
fd441c9bb39c,sawyerscott@example.net,+255720089542, In App ,2024-09-16T16:05:51.267567
e4db4c48bb20,wallaceheather@example.org,+250792204724, SMS ,2024-05-23T15:35:01.455731
5ba24f8b4e0d,rsantana@example.net,+254730402590, Push ,2025-01-03T04:01:03.592354
e82f90967fa1,lozanojulie@example.com,+256740633920,Push Notification,2025-04-26T05:31:26.750035
