customer_id,username,address_id,contact_id,first_name,last_name,gender,date_of_birth,preferred_language,account_creation_date
bc89-40a9-a3b8,garzaanthony,281b5923411c,9e3d3280233c,Clayton,Hall,Male,1980-12-31,English,2024-08-07T02:39:53.592034
142c-4fe8-a0e7,maria95,f1e15e7619ac,68fdb57dca44,Barbara,Bush,M,1937-06-29,English,2024-06-13T06:01:12.267052
fd51-46e6-851b,gabriellecameron,3c644fdd3b5e,ea917dc91668,Kimberly,Perez, m ,1946-10-25,English,2024-06-27T08:10:15.357387
3825-47b8-9cab,williamdavis,72eba2d95eeb,3a70d3353a18,Brandon,Rodriguez,Prefer Not to Say,1953-07-02,French,2025-03-22T13:55:25.712602
deda-4e16-9b3d,meagan89,02759979d26d,2f41a669ef65,James,Brooks,Female,1953-07-19,Swahili,2024-07-02T21:50:36.229793
fa5d-4100-91b7,davidalvarez,148bfc857811,1567ae765502,Andrea,Baker,Prefer Not to Say,1975-09-27,Luganda,2025-01-20T23:33:00.746907
3a9b-4dd4-8f12,heathchad,76402e863707,6c0ddb31c3e2,John,Caldwell, m ,1951-02-13,English,2024-05-24T14:07:56.073012
3ff3-40bf-b66e,ramosmichelle,f3a3c76884e9,c24e82126e3b,Andrea,Williams,F,1948-03-16,Kinyarwanda,2024-09-29T17:56:13.531501
b7e9-4aca-a970,jamesrobinson,2e8d788edde6,8fca9e3c1a78,Brian,Fitzgerald,Male,1965-03-14,English,2025-04-27T05:27:37.020731
42c1-4a62-af48,john62,d366b600237f,66ad427672e6,Emily,Evans,f ,1940-04-21,Luganda,2024-11-21T02:28:02.815840
d12d-4c9a-aaf9,sarah12,3d0024a30ab2,032512fb3192,Joseph,Preston,Female,1978-12-22,Swahili,2024-12-23T12:25:24.008250
e213-42b0-b1ee,amydavenport,78f4f913a4f9,87a74af1594c,Brandi,Hernandez,f ,1974-08-05,Kinyarwanda,2024-05-02T04:35:10.157740
b386-47a4-8991,ebrennan,fc0b3ce7d0d3,799dc1a52552,Jeffrey,Velasquez,F,1983-03-23,English,2024-07-28T07:11:54.111790
43f5-4a85-bbc9,carlsonmichael,868eb18e808a,79aff35cba69,Kristin,Graham, Female ,1942-09-28,English,2024-07-02T21:06:23.433051
5380-4904-a88c,angela36,24bf6c034add,44784e3a1abb,Elizabeth,Gray,Prefer Not to Say,1943-06-02,Swahili,2024-10-30T21:08:16.979500
9e87-404c-a208,cardenaskaren,d5ec857d3fd3,5f4fcf271a53,Emily,Walker,f ,1988-01-17,Kinyarwanda,2024-08-10T07:25:38.662754
8498-4113-b227,grantsamantha,1d64e6b505c2,5dbb09c1cd10,David,Anderson,Female,1942-02-06,Swahili,2024-07-01T21:36:15.580529
55fa-4ab8-858f,taylorjesse,c99d7fa57ff0,8ba74a6aa919,Heather,Mccarthy,M,1951-10-15,English,2025-01-14T06:35:12.853573
addc-4e13-ab3b,dramsey,a5ea66909c39,defe1f486dbe,Samantha,Hooper,M,09/09/2019,English,2024-05-09T06:14:54.580506
0d55-4b61-8a17,jeffrey10,512bb85b5598,73e03a7f8617,Karen,Herring,Prefer Not to Say,1965-02-04,Kinyarwanda,2024-10-17T10:25:14.669370
9367-4a02-8fdc,tsanders,f771e5f97e87,bbab5001c6d1,James,Vargas, m ,1946-04-11,Swahili,2024-11-26T00:26:07.331025
b512-4df8-b5b1,hthompson,8bd8428e91b2,a8d6c2cda5c8,Tammy,Nelson,M,1942-01-09,English,2024-12-16T19:12:37.398775
0299-436a-8e48,christophercortez,ea65c1b8f05a,aef71315fa80,Tracy,Chang,Female,1959-03-02,English,2025-01-09T18:13:56.496723
50c7-4006-b14d,jamesrodgers,4498f35e130e,9285c28ae857,Joshua,Lawrence,M,1967-06-12,French,2024-07-21T20:39:54.107214
d276-4bdc-9d34,kvasquez,30041846b7f7,05a11dcbfb71,Crystal,Brown,Female,1947-10-12,Swahili,2025-04-07T08:57:41.482421
f295-456e-9967,colleenbaker,90e1688e4c5f,d1ba50487690,Christopher,Allen,Female,1956-08-12,English,2024-12-07T07:42:07.755159
